# Неправильные глаголы: закрытый список фактов языка, а не правило.
#
# Колонки: основа, прошедшее, причастие, [3 л. ед. ч.], [форма на -ing].
# Последние две заполняются только там, где правило даёт неверную форму
# (have → has). Всё остальное выводится: get → gets, getting.
#
# Несколько допустимых форм пишутся через «|», первая — основная:
# «learned|learnt» покажет learned, а learnt в ответе тоже примет.
#
# Приоритет: forms: в data/*.yaml > эта таблица > правила morphology.mjs.
base	past	participle	third	ing
be	was|were	been	is	being
have	had	had	has
do	did	done
say	said	said
go	went	gone
get	got	gotten|got
make	made	made
know	knew	known
think	thought	thought
take	took	taken
see	saw	seen
come	came	come
give	gave	given
find	found	found
tell	told	told
become	became	become
show	showed	shown|showed
leave	left	left
feel	felt	felt
put	put	put
bring	brought	brought
begin	began	begun
keep	kept	kept
hold	held	held
write	wrote	written
stand	stood	stood
hear	heard	heard
let	let	let
mean	meant	meant
set	set	set
meet	met	met
run	ran	run
pay	paid	paid
sit	sat	sat
speak	spoke	spoken
lead	led	led
grow	grew	grown
lose	lost	lost
fall	fell	fallen
send	sent	sent
build	built	built
understand	understood	understood
draw	drew	drawn
break	broke	broken
spend	spent	spent
cut	cut	cut
rise	rose	risen
drive	drove	driven
buy	bought	bought
wear	wore	worn
choose	chose	chosen
seek	sought	sought
throw	threw	thrown
catch	caught	caught
deal	dealt	dealt
win	won	won
forget	forgot	forgotten
lay	laid	laid
sell	sold	sold
fight	fought	fought
bear	bore	borne
teach	taught	taught
eat	ate	eaten
sleep	slept	slept
drink	drank	drunk
swim	swam	swum
sing	sang	sung
ring	rang	rung
read	read	read
hit	hit	hit
hurt	hurt	hurt
cost	cost	cost
shut	shut	shut
spread	spread	spread
hang	hung	hung
sweep	swept	swept
sink	sank	sunk
shake	shook	shaken
steal	stole	stolen
strike	struck	struck
fly	flew	flown
ride	rode	ridden
shoot	shot	shot
freeze	froze	frozen
forgive	forgave	forgiven
hide	hid	hidden
bite	bit	bitten
blow	blew	blown
burn	burned|burnt	burned|burnt
learn	learned|learnt	learned|learnt
dream	dreamed|dreamt	dreamed|dreamt
smell	smelled|smelt	smelled|smelt
spell	spelled|spelt	spelled|spelt
spill	spilled|spilt	spilled|spilt
spoil	spoiled|spoilt	spoiled|spoilt
feed	fed	fed
flee	fled	fled
forbid	forbade	forbidden
lend	lent	lent
light	lit|lighted	lit|lighted
mistake	mistook	mistaken
overcome	overcame	overcome
prove	proved	proven|proved
quit	quit	quit
shine	shone	shone
sew	sewed	sewn|sewed
slide	slid	slid
speed	sped	sped
spin	spun	spun
split	split	split
spring	sprang	sprung
stick	stuck	stuck
sting	stung	stung
stink	stank	stunk
swear	swore	sworn
swing	swung	swung
tear	tore	torn
upset	upset	upset
wake	woke	woken
weep	wept	wept
wind	wound	wound
withdraw	withdrew	withdrawn
arise	arose	arisen
awake	awoke	awoken
beat	beat	beaten
bend	bent	bent
bet	bet	bet
bind	bound	bound
bleed	bled	bled
breed	bred	bred
broadcast	broadcast	broadcast
cast	cast	cast
cling	clung	clung
creep	crept	crept
dig	dug	dug
dive	dived|dove	dived
fit	fit|fitted	fit|fitted
forecast	forecast	forecast
kneel	knelt|kneeled	knelt|kneeled
lean	leaned|leant	leaned|leant
leap	leaped|leapt	leaped|leapt
misunderstand	misunderstood	misunderstood
mow	mowed	mown|mowed
outgrow	outgrew	outgrown
overtake	overtook	overtaken
rebuild	rebuilt	rebuilt
repay	repaid	repaid
rewrite	rewrote	rewritten
rid	rid	rid
shed	shed	shed
shrink	shrank	shrunk
sow	sowed	sown|sowed
spit	spit|spat	spit|spat
stride	strode	stridden
strive	strove	striven
swell	swelled	swollen|swelled
thrust	thrust	thrust
tread	trod	trodden
undergo	underwent	undergone
undertake	undertook	undertaken
uphold	upheld	upheld
weave	wove	woven
wet	wet|wetted	wet|wetted
